SECTION, TITLE, DESCRIPTION
AVN 222, Instrument Airplane Flight 2 Cr.,  Students will learn to maneuver an aircraft under instrument flight conditions and rules (simulated and actual) from takeoff and enroute navigation to approach and landing. There are four stages to this course: Instrument flying skills using navigation equipment flying instrument approaches and cross country flights. Successful completion of this course results in the FAA certifying the student as an instrument rated pilot. This course is taught at Porter County Regional Airport by the certified staff of Eagle Aircraft. Graded S/U.  Corequisite: 
AVN 321, Commercial Airplane Ground 3 Cr.,  This course will include: expanded coverage of aircraft aerodynamics and performance advanced aircraft maneuvers complex aircraft FARs covering commercial aircraft operation flight operations and cross country planning and execution and single/multicrew resource management. At the end of this course all students will be able to take the FAA Commercial Pilot Written Exam.  Corequisite: 
AVN 322, Commercial Airplane Flight I 2 Cr.,  Flight experience will cover all aspects of commercial flight operations to include advanced aircraft maneuvers flight planning and execution and operations within the air route traffic control system. This course is taught at the Porter Regional Airport by certified staff of Eagle Aircraft. Graded S/U.  Corequisite: 
AVN 322., To complete this course a student must earn the Commercial Pilot Certificate including a minimum of 190 hours of flight time., (Additional flight time may be required for the student to achieve the needed proficiency.) This course is taught at the Porter County Regional Airport by the certified staff of Eagle Aircraft. Graded S/U.  
AVN 421, Multi-Engine Ground 3 Cr.,  This course will introduce the pilot to multi-engine aircraft and will include: multi-engine IFR operations single engine operations in a multi-engine aircraft (including other emergencies and system failures) multi-engine cross country flying and single/multi-crew resource management.  Corequisite: 
AVN 422, Multi-Engine Flight 2 Cr.,  Flight training will cover: multi-engine operations single engine flight in a multi-engine aircraft multi-engine instrument operations and multi-engine cross country flight. To complete this course you must earn the Multi Engine Rating on either the Private or Commercial Pilot Certificate. This course is taught at the Porter County Regional Airport by the certified staff of Eagle Aircraft. Graded S/U.  Corequisite: 
AVN 423, Flight Instructor Ground 3 Cr.,  This course will include: fundamentals of instruction and learning theory (e.g. the learning process elements of effective teaching evaluation and others) aeronautical knowledge based on the flight instructor privileges being sought and instrument procedures if seeking a CFII. This course will require you to teach all subjects previously learned for the Private and Commercial Pilot Certificates. At the end of this course all students will be able to take the Fundamentals of Instruction and Flight Instructor Airplane Written Exams present any topic as an instructor and write lesson plans associated with known material.  Corequisite: 
AVN 424, Flight Instructor Flight 2 Cr.,  This course will apply the Fundamentals of Instruction teaching and evaluating techniques learned in previous courses. Flight training will be conducted in accordance with FAR Part 61 section 187 depending on the category and class rating the student is attempting. In addition the student will have at least 15 hours in the category and class of aircraft for which the rating is being sought. To complete this course a student must earn the Flight Instructor Certificate. This course is taught at the Porter County Regional Airport by the certified staff of Eagle Aircraft. Graded S/U.  Corequisite: 
AVN 423., College of Engineering 323 engineering course unless they have completed the course at an earlier date with an unsatisfactory grade (lower than C-) or have approval of the department chair., Courses that are cross-listed with departments in the other colleges and taken while on academic suspension may not be used to satisfy College of Engineering degree requirements unless approved by the dean of Engineering. General Engineering Assistant Dean for Student Success & Director Hesse Center Laura L. Sanders; Assistant Professor Wertz. See page 59 for the number of credit hours that may be applied toward a degree in the College of Arts and Sciences. General Engineering Courses 
GE 100, Fundamentals of Engineering 1.,33+1.33 2 Cr.  This is an introductory course that focuses on the fundamental concepts of engineering. Topics are drawn from principles of civil computer electrical and mechanical engineering and show the interdisciplinary nature of the profession. Foundational skills such as problem solving engineering communication and teamwork are included. Students will participate in hands-on activities and design projects related to topics covered. Corequisite: 
GE 290, Issues in Technology 3 Cr.,  Introduction to problem solving decision making and risk assessment as they relate to the technical decision-making process. Engineering measurements will be explored in the laboratory using conventional and computer-based data acquisition systems. Utilizing case studies the relevant technical and nontechnical decisions associated with issues and projects will be explored. Not open to engineering majors. 
GE 299, Humanitarian Engineering Colloquium 0 Cr.,  Students will present their work in humanitarian engineering. Guest speakers will be invited to present topics relating to humanitarian issues. Students pursuing the Humanitarian Engineering Minor are expected to register for the colloquium every spring semester. S/U grade only. 
GE 301, Financial and Ethical Decisions in Engineering 3 Cr.,  A discussion of essential non-technical issues that impact engineering decision-making. Topics include calculating measures of financial merit for engineering decisions selecting the most economically desirable solution from among several alternatives recognizing situations that require ethical judgment and applying engineering codes of ethics to make ethical decisions. Concepts of sustainability and sociopolitical influence are discussed.  
GE 311, Financial Decisions in Engineering 1.,5 Cr.  A discussion of essential financial issues that impact engineering decision-making. Topics include calculating measures of financial merit for engineering decisions and selecting the most economically desirable solution from among several alternatives.  
GE 312, Ethical Decisions in Engineering 1.,5 Cr.  A discussion of essential ethical issues that impact engineering decision-making. Topics include recognizing situations that require ethical judgment and applying engineering codes of ethics to make ethical decisions. Concepts of sustainability and socio-political influence are also discussed.   College of Engineering 324 
GE 481, Cooperative Education I 0.,5-3 Cr.  Application of the concepts of engineering in a business consulting industrial or government setting. Emphasis is placed on involvement in real-world engineering projects requiring analysis design and investigative skills. Requires satisfactory work performance at a pre-selected employer and the submission of reports in a format approved by each department. This course is graded S/U only for civil and mechanical engineering majors.  
GE 483, Cooperative Education III 1 Cr.,  Application of the concepts of engineering in a business consulting industrial or government setting. Requires the submission of reports in a format approved by each department. This course is graded S/U only for civil and mechanical engineering majors. May be repeated for up to three credit hours.  
GE 493, Professional Communications and Interpersonal Relations 3 Cr.,  The development of professional skills needed to be successful in the engineering profession. Topics include building self-confidence strengthening people skills enhancing communication skills developing leadership skills and reducing stress/improving attitude. Junior standing and dean’s approval required. 
GE 495, Special Problem 1-3 Cr.,  Selected students are permitted to work on a special problem under the supervision of a member of the faculty. Each student is required to keep a progress notebook and to turn in a final report in an approved format. Open only to students with permission of the faculty and approval of the dean. 
GE 497., Projects are built tested documented and reported.,  Civil Engineering Professors Polito Weiss; Associate Professors Aljobeh Raich (chair); Assistant Professor Grossman; Instructor Henschen. Mission The mission of the Department of Civil Engineering is to provide the highest quality of technical education which is grounded in the arts and sciences by faculty dedicated to exceptional teaching and extraordinary care for individual students. The department will strive to develop graduates who will be effective members of engineering teams managers of engineering projects and serve as leaders in the civil engineering discipline and within the broader community of church and society.   College of Engineering 327 Humanities Social Science Theology Electives Students will take six credits from the approved list of Humanities courses Social Science courses or Theology courses. Courses may be from the same area or from different areas. See pages 477-480 for Humanities and Social Science courses. Civil Engineering Minor (Minimum 18 Cr.) A minor in civil engineering is available to students majoring in computer electrical or mechanical engineering. A minimum of 18 credit hours in civil engineering excluding 
GE 109, may be counted as part of the 18 credits., A concentration of at least two CE courses in water resources structural geotechnical construction environmental or transportation engineering is required. At least nine credits must be at the 300 level or above. Mechanical engineering majors may not use 
CE 151, Introduction to Computer-Aided Drafting 0+3 1 Cr.,  This introductory course will provide students with a basic understanding of the features and consideration associated with the operation of a computer-aided drafting (CAD) system. Students will be introduced to drafting standards and practices in the context of a range of civil engineering disciplines. 
CE 202, Statistical Applications in Civil Engineering 3 Cr.,  An introduction to the primary statistical and probabilistic models used in the collection and interpretation of civil engineering data. The focus is on summary techniques regression models application of the Central Limit Theorem confidence intervals and recurrence intervals. Monte Carlo simulation techniques are used to estimate the failure likelihood of a civil engineering system.  
CE 212, Materials Engineering 2+3 3 Cr.,  Study of the composition production properties and behavior of structural materials such as aggregate concrete steel and timber. Introduction to the use of standardized test methods and data analysis. Laboratory exercises include determination of aggregate properties concrete mixture design properties of hardened concrete properties of ductile metals and properties of clear wood. Written reports for laboratory exercises are required. Field trips may be required.  
PHYS 215.,) Concepts of stress and strain stress-strain relationships states of plane stress and strain at a point; elementary analysis of stress distributions and deformations for axial loading of prismatic members torsional loading of circular shafts and bending of beams combined loading; plastic elastic action and an introduction to statically indeterminate problems.,  
CE 216, Introduction to Structural Engineering 3 Cr.,  An introduction to the behavior analysis and design of structures. Topics will include design criteria loads analysis of structural members and systems using classical hand methods and computer software and design with various material types (e.g. steel concrete timber masonry).  
CE 252, Introduction to Transportation Engineering 3 Cr.,  Topics include transportation system characteristics transportation demand transportation planning transportation engineering studies human and vehicle design factors traffic flow and operations signing and marking and safety. While highway modes occupy a majority of the time due to their relative importance other modes such as rail air and water will also be discussed.  
CE 281, Geology for Civil Engineers 3 Cr.,  A study of the structure of the Earth including minerals igneous sedimentary and metamorphic rocks. Also discussed are plate tectonics and its relationship to volcanoes earthquakes and mountain building. Upon completion of this course students should be able to apply their knowledge of geology to civil engineering projects.   College of Engineering 328 
CE 317, Design of Reinforced Concrete Structures 3 Cr.,  Design of reinforced concrete members and structures. Topics will include the design of members for compression flexure and shear deflections bond and anchorage and footings. Additional topics may include the design of one-way slabs and the design of reinforced concrete frames. ACI strength design methods are used.  
CE 318, Design of Steel Structures 3 Cr.,  Design of steel members and structures. Topics will include the design of members for tension compression flexure and shear and the design of simple connections. Additional topics may include the design of composite members and the design of steel frames. LRFD methods are used.  
CE 320, Soil Mechanics 3+3 4 Cr.,  The study of index mechanical and hydraulic properties of soils. Soil identification compaction shear strength consolidation vertical stress distribution and flow through porous media. Principles of laboratory identification and testing of soils. Site investigation and in situ testing.  
CE 334, Fluid Mechanics 3+3 4 Cr.,  An examination of fluid properties fluids at rest and fluids in motion. Conservation of mass and the energy and momentum principles are utilized along with dimensional analysis and similitude. Applications include pumps flow in conduits lift and drag pipe networks and hydraulic model studies. Integrated with the fluid mechanics per se are principles of mechanics-dynamics.  
CE 335, Hydrology 3 Cr.,  Introduction to surface water hydrology: hydrologic cycle precipitation evaporation infiltration runoff rainfall–runoff relationships uniform flow in open channels stream flow measurements hydrologic routing hydrologic modeling hydrologic probability storm water management storm sewer design and applications.  
CE 354, Design of Transportation Facilities 3 Cr.,  Infrastructure and associated needs for transportation facilities. Highway geometric design and the necessary design aids will be a major focus of the class but other facilities will also be addressed particularly rail and airport design. Other topics will include pavement design and the explicit incorporation of safety into the design process.  
CE 364, Environmental Engineering I 3+3 4 Cr.,  Introductory study of water treatment practices common to urban areas. Laboratory principles and methods related to safety sampling data analysis and measurement of selected physical chemical and biological characteristics of water and wastewater are introduced. Field trips are required. Corequisite: 
CE 365, Environmental Engineering II 3 Cr.,  Introductory study of physical chemical and biological processes for the treatment of domestic wastewater and the design of wastewater treatment unit operations.   Independent study of an advanced topic in civil engineering. Available by invitation only.     College of Engineering 329 
CE 415, Advanced Structural Analysis c 3 Cr.,  Analysis of statically indeterminate structures using energy and/or matrix methods. Direct stiffness and flexibility methods are discussed as are a variety of applications in structural analysis software including response to time-dependent loading such as blasts earthquakes etc.  
CE 421, Geotechnical Aspects of Earthquake Engineering c 3 Cr.,  Causative mechanisms of earthquake earthquake magnitudes ground motion effect of local soil conditions on motions. Response of soils to seismic loading liquefaction phenomena and analysis of pore pressure development laboratory and in-situ testing for seismic loading.  
CE 436, Water Resources Engineering c 3 Cr.,  Application of the principles of fluid mechanics to analysis and design of water resources projects. Potential topics include branching pipes water towers in pipe networks manifolds open-channel hydraulics culvert design water hammer reservoirs and water law and wells.  
CE 437, Urban Stormwater Management c 3 Cr.,  Urbanization typically increases the volume of stormwater runoff and degrades water quality. This effect of urbanization on the quantity and quality of stormwater water runoff will be investigated as will methods used to measure and reduce this impact. This course will address the special case of urban hydrology for small watersheds and the management of stormwater quality and quantity. Pre/corequisite: 
CE 456, Railroad Design and Operations c 3 Cr.,  Essential elements of railroad facility design and operations with the objective of providing students with a more detailed understanding of railroad functions design construction and operations. The design aspect of the course will include route location track structure design and construction of main lines and terminal facilities maintenance-of-way operations such as track inspection and right-of-way maintenance railroad bridges and bridge loadings and drainage requirements. The operations aspect of the course will include basic train handling train operating characteristics train makeup and types of trains train dispatching yard and terminal operations and signaling.  
CE 457, Traffic Engineering c 3 Cr.,  Fundamental traits and behavior of road users and their vehicles. Characteristics of a free-flowing traffic stream; capacity and level of service of urban and rural highways signals and signalized intersection capacity; traffic speeds volumes signing and marking; accidents and safety. Taught in alternate years.  
CE 458, Urban Transportation Planning c 3 Cr.,  Fundamentals of urban transportation planning. Topics include the traditional 4-step planning process which includes trip generation trip distribution mode choice and trip assignment data collection and statistical techniques aggregate and disaggregate modeling transportation demand forecasting interaction with land use and urban planning short-term and long-term plans traffic impact studies and environmental studies.     College of Engineering 330 
CE 459, Transportation Economics c 3 Cr.,  Introduces the basics of transportation economics. Topics include fixed costs incremental costs elasticities direct and indirect costs the application and impact of subsidies economics of scale economies of highway- transit- rail air- and water-based transportation modes.  
CE 466, Hazardous Waste Management c 3 Cr.,  A basic overview of remediation of contaminated soil and ground water at hazardous waste sites including development of site investigation plans management of field investigations environmental risk assessments feasibility studies innovative remedial design techniques and case studies. Oral and written reports and field trips are required. 
CE 467, Biological Wastewater Treatment c 3 Cr.,  This course covers biological treatment of domestic and industrial wastewaters for the removal of organics and nutrients. Kinetic expressions of biological growth and fluid transport through treatment reactors will be introduced. These concepts will be used to estimate reductions in organic and nutrient concentrations and design appropriate biological treatment processes. Corequisite: 
CE 493, Senior Design I: Project Planning and Management 2.,5+1.5 3 Cr.  An introduction to professional practice issues such as contracts project proposals and project management including scheduling estimating and project control. Student teams participate in the planning of an integrated and realistic civil engineering project. Knowledge gained in previous courses including ethical legal societal multicultural economic financial aesthetic and environmental aspects will be integrated into the projects. The course may include field trips and/or lectures by practicing professionals. Oral and written reports are required.  
CE 494, Senior Design II: Project Development and Design 1+6 3 Cr.,  Student teams participate in the design of integrated and realistic civil engineering projects. Knowledge gained in previous courses is used to incorporate the ethical legal societal multicultural economic financial aesthetic and environmental aspects in the design. In addition elements of management and communication are integrated. The course may include field trips and/or lectures by practicing professionals. Oral and written reports are required.  
CE 499, Senior Honor Studies in Civil Engineering 1-3 Cr.,  Independent study of an advanced topic in civil engineering. Available by invitation only.  Electrical and Computer Engineering Professors E. Johnson Tougaw (chair) Will; Associate Professors Budnik Khorbotly; Assistant Professors El-Howayek Marley White; Lecturer Walter. The Department of Electrical and Computer Engineering offers two degree programs: Electrical Engineering and Computer Engineering. These two degrees share a fundamental theoretical background that is reflected by many common courses and shared laboratory facilities. In the sophomore year students take foundation courses in analog circuits digital circuits and programming. Computer-aided design tools and laboratories supplement the material taught in the classroom. During their junior year students build on their foundation by studying electronics linear systems and embedded microcontrollers. Students also participate in group design projects and are introduced to a variety of realistic design constraints including engineering ethics safety and economics. The senior year is anchored by an interdisciplinary capstone project where students begin a systematic study of the design process and apply the knowledge acquired in earlier courses. Projects require the consideration of realistic constraints and standards formal project management the building and testing of a prototype and thorough documentation. College of Engineering 334 E
ECE 452, Digital Signal Processing 2.,7+1 3 Cr. Mathematics/Science Electives 6 Cr. Professional Electives 3 Cr. Computer Engineering Electives 13 Cr. Total Required for Graduation 127 Cr. Writing Intensive Course (as indicated by a superscript “w”) At least 3 credits of courses taken to satisfy the Foreign Languages/Diversity Elective Humanities Social Science and Theology Electives or 
GE 483, may be used to satisfy the Professional Electives requirement if a minimum of six credits of cooperative education have been completed., All courses are graded S/U only. Foreign Language/Diversity Elective Students will take three credits from either foreign language at the 102 level or above or from the diversity list beginning on page 476. Humanities Social Science Theology Electives Students will take six credits from the approved list of Humanities courses Social Science courses or Theology courses. Courses may be from the same area or from different areas. See pages 477-480 for Humanities and Social Science courses. Mathematics/Science Elective The Mathematics/Science Elective requirement may be met by taking one of the approved courses found on page 346. Other choices may be made available by petition to the ECE Department. Professional Electives These courses are selected in consultation with the advisor to support the student’s specific career goals. A current listing of approved professional electives is available on page 346. Other choices may be made available by petition to the ECE Department. Electrical and Computer Engineering Courses See page 59 for the number of credit hours that may be applied toward a degree in the College of Arts and Sciences. 
ECE 211, Technical Writing for Electrical and Computer Engineers 1 Cr.,  An introduction to technical writing in electrical and computer engineering. Topics include writing impactful sentences and paragraphs designing figures charts graphs and tables to effectively convey technical information and writing for a particular audience. Pre/Corequisite: 
CE 212, The Design Process for Electrical and Computer Engineers 1 Cr.,  A study of the design process as it relates to electrical and computer engineering. All steps of the design process will be considered in depth and students will complete both incremental projects and a comprehensive design project that integrates their knowledge of the course material with technical design constraints.  
ECE 251, Engineering Programming I 3 Cr.,  A study of the fundamental programming constructs algorithms and data structures using industry-standard software. An emphasis is placed on programming strategies and the application of computer algorithms to solve problems in engineering and mathematics. Students cannot receive credit for both 
ECE 251, with emphasis on implementing abstract data types and standard algorithms using industry-standard programming languages with applications to contemporary engineering problems., Topics include the implementation of linked lists queues trees stacks sets and sorting algorithms such as quick sort merge sort and bucket sort. Students are also introduced to object orientation.  Students cannot receive credit for both E
ECE 263, Linear Circuit Theory I 3+3 4 Cr.,  A study of the fundamental methods and theorems of electric circuit analysis. Topics include steady state and transient analysis of DC and transient circuits containing resistors capacitors inductors operational amplifiers and the Laplace Transform. Pre/corequisite: 
PHYS 322.,) The application of microcontrollers in embedded system design emphasizing the interaction of hardware and software design., Topics include integrated development environments CPUs program and data memories interrupts digital inputs and outputs timer peripherals serial communication interfaces and analog-to-digital converter peripherals.  
MATH 220.,) An introduction to mathematical reasoning algorithm analysis and the concepts that provide a mathematical foundation for computer science., Topics include logic; sets; functions; order notation; proof techniques including mathematical induction; elementary counting techniques; iterative and recursive algorithms; elementary complexity analysis and applications.  
ECE 360, Signals and Systems 3 Cr.,  Continuous and discrete systems and signals are considered in both time and frequency domains. Continuous-time linear systems topics include Fourier series Fourier transforms and Laplace transforms. Discrete-time topics include the discrete Fourier transform the Z-transform sampling quantization and discrete-time processing. Discrete and continuous filtering techniques are introduced.  
ECE 452, Digital Signal Processing 2.,7+1 3 Cr.  This course is an overview of the theory and techniques of the basic concepts of digital signal processing. Topics covered include design of FIR and IIR filters construction of algorithms for real-time and off-line signal processing relationships between analog and digital realizations and real-time hardware considerations.  College of Engineering 337 
ECE 453, Communication Systems 2.,5+0.5 3 Cr.  Methods of transmission of information by electrical signals through channels limited by bandwidth and additive noise. The characteristics of standard analog and digital modulation schemes such as AM FM PAM and PCM are investigated and related to their channel requirements.  
CE 456, Fiber-Optic Communication 2.,5+0.5 3 Cr.  A study of optical fiber communication systems and networks with hands-on experience. Theory of light wave propagation and single/multimode optical fibers. Introduction to light emitting diodes and laser diodes as optical sources and the modulation of those sources. Introduction to PIN and avalanche photodetectors filters and multiplexers.  
ECE 460, Control System Design 3 Cr.,  A study of the application of feedback analysis and design in the frequency and time domains. Classical design is considered using root-locus and frequency response methods. Models derived from frequency response data are introduced. Introduction to modern control (state-space representation and pole placement) and Luenberger observers.  
ECE 472, Power Systems Analysis 3 Cr.,  The principles of power system analysis are studied through the development of models of all major components of a modern electric power grid. The course includes the development and application of power system analysis tools for power flow and fault analysis.  E
CE 499, Senior Honor Studies in Electrical and Computer Engineering 1-3 Cr.,  Independent study of an advanced topic in electrical engineering. Available by invitation only.  Mechanical Engineering and Bioengineering Associate Professors Duncan (chair) Goehler P. Johnson Nudehi; Assistant Professors Blood R. Johnson Krenzke Venstrom D. Zhang; Instructor B. Powell. Mission The Department of Mechanical Engineering and Bioengineering provides a program of professional studies grounded in engineering fundamentals and arts and sciences and augmented by the development of interpersonal skills experiential learning and an appreciation of lifelong learning. Graduates are prepared to apply their knowledge to society's needs and help shape the future. Mechanical Engineering Program Educational Objectives The educational objectives of the Mechanical Engineering Program are the following: 1. Our graduates will have a vocation. 2. Our graduates will demonstrate growth or advancement in their chosen vocation. 3. Our graduates will contribute to society through their endeavors in their chosen vocation. College of Engineering 343 Mechanical Engineering Courses See page 59 for the number of credit hours that may be applied toward a degree in the College of Arts and Sciences. 
ME 104, Computer-Aided Design 2 Cr.,  A course in the theory and technique of engineering graphics related to the design process. Emphasis is placed on orthographic and isometric projections oblique and section views and dimensioning and tolerancing. The course focuses on 3-D modeling strategies including line drawings solid modeling and parametric modeling using computer-aided design software.  
ME 201, Technical Writing for Mechanical Engineers 1 Cr.,  An introduction to technical writing in mechanical engineering. Common technical formats such as reports email and memorandums will be covered. Topics include outlining figure and table development paragraph and sentence development and overall communication of technical matter. Pre- or Corequisite: 
ME 209, Mechanics-Dynamics 3 Cr.,  A study of individual particles and systems of particles in rectilinear and curvilinear motion in two and three dimensions. The course includes motion of a rigid body in translation rotation and general plane motion; forces involved in moving systems; use of work and energy relations; and impulse and momentum.  
PHYS 215.,) Concepts of stress and strain stress-strain relationships states of plane stress and strain at a point; elementary analysis of stress distributions and deformations for axial loading of prismatic members torsional loading of circular shafts and bending of beams combined loading; plastic elastic action and an introduction to statically indeterminate problems.,  
PHYS 333.,) A study of fundamental concepts and physical principles involved in the science of measurement and design of experiments., Experiments involve calibration and testing (both static and dynamic) of primary elements signal amplifiers transducers and readout devices. Experimentation utilizes laboratory and industrial instruments. Extensive use is made of computer data acquisition and analysis.  Pre/corequisite may be waived with approval of the chair of the ME department. 
PHYS 352.,) A study of structure-property-processing relationships of engineering materials related to their selection in design and manufacturing processes., Methods of controlling structure and mechanical properties of materials are studied with an emphasis on the strengthening mechanisms. Processes studied include solidification phase transformation and mechanical working of metals.   College of Engineering 344 
ME 362, Mechanisms b 3 Cr.,  Graphical and analytical approaches to kinematic analysis and synthesis of linkages gears and cams. Linkage topics include displacement velocity and acceleration analysis along with type number and dimensional synthesis. Fundamentals of gears and gear trains are investigated. Cam sizing and application of motion programs to cam design are considered.  
ME 363, Machine Design I b 3 Cr.,  The application of specialized topics in mechanics of materials to the design and analysis of machine elements. Topics include combined stress contact stress stress concentration fatigue deflection and theories of failure. Stress principles are applied to springs bolts joints and general machine elements.  
ME 377, Introduction to Renewable Energy m 1 Cr.,  A study of the global energy crisis. Students will identify the challenges of the current energy system and investigate alternative energy systems including renewables and their associated technologies. As a focus of their studies students will evaluate the role that alternative energy systems can play in solving the energy crisis based on their availability and sustainability.  
ME 405, Finite Element Analysis b 2 Cr.,  Finite element methods for analysis of steady-state and transient problems in solid structural fluid mechanics and heat transfer. Presents finite element methods and solution procedures for linear problems. Modeling of problems and interpretation of numerical results.  Pre- or Corequisite: 
ME 444, Automatic Control 2 Cr.,  Fundamentals of instrumentation and control with particular application to the process industries. System dynamics are analyzed using step ramp and frequency response techniques. Laboratory experiments involve system stability controller selection and adjustment numerical analysis techniques and system sequencing to achieve specific control objectives.  
ME 452, Mechanical Behavior of Materials b m 3 Cr.,  An introduction to the deformation and fracture behavior of metals ceramics polymers and composites. Topics include yielding criterion plastic deformation strain hardening strengthening mechanisms viscoelasticity fatigue fracture creep and microstructure/ mechanical property relationships.     College of Engineering 345 
ME 455, Production Systems and Automation b m 3 Cr.,  A study of productions system theory including Lean Manufacturing Theory of Constraints Six Sigma and Group Technology and a study of automation implementation in manufacturing and distribution facilities including material handling systems automatic data capture systems and machine tools.  
ME 460, Spatial Manipulators b m 3 Cr.,  An application of linear algebra trigonometric techniques and kinematic principles to study the motion of spatial mechanisms. The course will examine various types of manipulators that range in complexity from simple two-degree-of-freedom planar robots to the human arm.  
ME 477, Solar Thermal Technology m 3 Cr.,  The fundamentals and applications of solar thermal energy systems are developed and discussed. Topics include residential water heating residential and commercial space heating and solar concentrating systems. The subject is an application of thermodynamics fluid mechanics and heat transfer.   
ME 499, Undergraduate Research in Mechanical Engineering m b 0.,5-3 Cr.  Independent study of an advanced topic in mechanical engineering. This course may be repeated for additional credit. Available by invitation only.     College of Engineering 346 Bioengineering Courses See page 59 for the number of credit hours that may be applied toward a degree in the College of Arts and Sciences. 
BE 320, Bioengineering Technologies Lab m 0+3 1 Cr.,  Experimental studies designed to reinforce theory presented in the areas of biomechanics biomaterials and bioelectricity. Experiments deal with topics such as simulation of human movement using musculoskeletal models motion capture of human movement acquiring and filtering bioelectrical signals from human subjects and testing of materials used in joint replacements.  
BE 369, Biomechanics m 3 Cr.,  An application of linear algebra engineering principles and anatomical knowledge to study the motion of human bodies. The course will examine how the nervous system stimulates various muscles which in turn actuates the skeletal system in a desired movement based on the complex three-dimensional kinematic and kinetic descriptions of human anatomy.  
BE 468, Human-Machine Interfaces b m 3 Cr.,  The study of human-machine interfaces with a focus on rehabilitation applications. Human motor and sensory capabilities are described using models from control theory. The human and machine are analyzed together as a closed-loop system. Communication between rehabilitation patients machines engineers clinicians and the media is discussed.  
BE 499, Undergraduate Research in Bioengineering b m 0.,5-3 Cr.  Independent study of an advanced topic in bioengineering. This course may be repeated for additional credit. Available by invitation only.  College of Engineering Electives Approved Civil Engineering Professional Electives Any CE approved Technical Elective 
GE 495,: Professional Communication & Interpersonal Relations Minor courses: Any class above required for a CE degree that is used to fulfill a minor requirement Foreign Language: Any foreign language class (language only not other courses offered in a foreign language department) ACC: Any ACC course BLAW: Any BLAW course FIN: Any FIN course IDS: Any IDS course College of Nursing and Health Professions 352 Nursing Courses 
NUR 201 Professional Role in Nursing 3 Cr.,  An overview of professional nursing practice analyzing the concepts of person health nursing and environment. Explores the expanding role of the professional nurse including provider of care teacher manager and research consumer. Students develop communication skills used in professional nursing. Sophomore standing and a cumulative GPA of 2.500 required.  
NUR 203, Health Assessment 2+1 3 Cr.,  Clinical practice in assessment skills of persons across the life-span. Emphasis is placed on those communication and psychomotor techniques that are fundamental for an organized and comprehensive health assessment relating to the nursing process. Sophomore standing and a cumulative GPA of 2.500 required.  
NUR 212, Introduction to Community-Based Nursing and Health Promotion 2.,5+0.5 3 Cr.  Focuses on health promotion and the influence of diversity among persons living within the United States. This course is open to all University students with a sophomore standing or above and could be of benefit to students considering careers in theology psychology church work social work medicine occupational or physical therapies. A service learning component is included that will provide experiences in interfaith community-based health promotion activities. Sophomore standing and a cumulative GPA of 2.500 required.  
NUR 275, Transition to Professional Nursing 4 Cr.,  Concepts relevant to professional nursing are discussed and applied. Explores the expanding role of the professional nurse including provider of care teacher manager and research consumer while emphasizing the process of communication critical thinking change and lifelong learning. R.N. license sophomore standing and a cumulative GPA of 2.500 required.  
NUR 325, Nursing Care of the Childbearing Family 3+2 5 Cr.,  The study and practice of professional nursing with a focus on childbearing women families and newborns at all levels of prevention. Emphasis is placed on a family-centered approach in community settings. Cumulative and Nursing GPA of 2.500 required.  
NUR 341, Psychiatric Mental Health Nursing 3+2 5 Cr.,  The application of psychiatric mental health nursing principles in the care of persons who have been impacted by psychiatric disturbances. Using psychobiological and behavioral theories and therapeutic communication skills emphasis is placed on the promotion of optimal mental health functioning for individuals families and communities. Cumulative and Nursing GPA of 2.500 required.  
NUR 351,/551 Gerontological Nursing 2.,5+0.5 3 Cr.  This course focuses on gerontological nursing. Theories and various dimensions of aging are discussed. Normal biological aging attitudes towards aging health issues facing the elderly and nursing interventions to promote quality care for older adults will be explored. Service learning activities will promote a holistic understanding of the aging process. Cumulative and Nursing GPA of 2.500 required.  
NUR 354, Nursing Care of Adults I 3+2 5 Cr.,  Concentrates on the development of professional nursing practice with adults experiencing acute and chronic changes in health. Emphasis is placed on meeting the health needs of these adults and their families in a variety of environments at all levels of prevention. Cumulative and Nursing GPA of 2.500 required.     College of Nursing and Health Professions 353 
NUR 356, Nursing Care of Adults II 3+2 5 Cr.,  A continuation of Nursing Care of Adults I. Concentrates on the development of professional nursing practice with adults experiencing acute and chronic changes in health. Emphasis is placed on meeting the health needs of these adults and their families in a variety of environments at all levels of prevention. Cumulative and Nursing GPA of 2.500 required.  
NUR 360, Interprofessional Service Learning in Health in Central America 1+2 3 Cr.,  This course focuses on the application of principles from international health public health and community-based participatory action to population-based health care services in rural Central America. Emphasis is placed on assessing diagnosing planning and evaluating health and implementing strategies at all levels of prevention during this service learning experience. As a member of an interprofessional health care team students will explore the roles of public health professionals in collaboration with local care providers in the provision of services to disparous populations. Maybe used to fulfill Cultural Diversity course component of the General Education requirements. Corequisite: must attend the service learning trip to Central America. Cumulative and Nursing GPA of 2.500 required.  
NUR 381, Cooperative Education in Nursing 1-3 Cr.,  Application of the concepts of professional nursing in a health care setting. Requires satisfactory work performance for a preselected employer and submission of a final project. Dean’s approval and cumulative and Nursing GPA of 2.500 required.  May be taken on S/U basis. 
NUR 390, Topics in Nursing and Health Care 1-3 Cr.,  An open topic course which may cover specialized areas of nursing current concepts nursing concerns of delivery of health services. The course may be taken more than once for a maximum of six credit hours provided there is not duplication of topics.  Selected topics offered to non-nursing majors. May be taken on the S/U grade basis. 
